省（区、市）,市（区）,县,项目名称,所属基地,项目类型,项目阶段,核准容量（MW）,核准日期（年/月/日）,开工日期（年/月/日）,累计吊装容量（MW）,首次并网日期（年/月/日）,全部并网日期（年/月/日）,并网容量（MW）,项目公司,所属集团,备注,并网年份
河北省,张家口市,尚义县,国华尚义全顺堂风电场项目,,陆上集中式,在建,100,2017/10/25,2019/11/1,,,,,国华（河北）新能源有限公司,国华投资,,2019
河北省,廊坊市,大城县,国家电投集团大城100MW风电工程项目,,陆上集中式,在建,100,,2020/3/25,,,,,国家电投集团大城县东方新能源发电有限公司,国电投,,2019
河北省,秦皇岛市,青龙满族自治县,国家电投集团河北省青龙县土门子100MW风力发电项目（一期）,,陆上集中式,在建,50,2017/12/8,,,,,,国家电投集团青龙东方新能源发电有限公司,,,2019
河北省,张家口市,张北县,国新张北郝家营项目,,陆上集中式,在建,100,2019/6/30,,,,,,张北融智新源电力有限公司,其它投资企业,,2019
河北省,邯郸市,肥乡县,邯郸肥乡区捷弘150兆瓦风电场（一期100MW）,,陆上集中式,在建,100,2017/12/29,2018/9/1,,,,,邯郸市肥乡区捷弘新能源科技有限公司,其它投资企业,,2019
河北省,保定市,易县,河北保定易县良岗风电场项目,,陆上集中式,在建,50,,,,,,,中国水电顾问集团易县新能源有限公司,中国电建,,2019
河北省,张家口市,尚义县,河北大唐尚义补龙湾100MW风电场,,陆上集中式,在建,100,,2020/4/25,,,,,河北大唐国际新能源有限公司,大唐,,2019
河北省,张家口市,万全县,河北华电万全北新屯100MW风电,,陆上集中式,在建,100,2016/12/29,,,,,,华电张家口万全区新能源发电有限公司,华电新能源,,2019
河北省,张家口市,蔚县,河北华电蔚县西岭202MW风电项目,,陆上集中式,在建,202,,2017/8/1,,,,,河北华电蔚州风电有限公司,华电,,2019
河北省,张家口市,蔚县,河北华电蔚县阳眷100MW风电项目,,陆上集中式,在建,100,,2017/8/1,,,,,河北华电蔚州风电有限公司,华电,,2019
河北省,承德市,丰宁满族自治县,河北建投丰宁大营子风电场项目,,陆上集中式,在建,48,2016/12/16,2017/9/1,47.5,,,,河北丰宁建投新能源有限公司,河北建投,,2019
河北省,承德市,丰宁满族自治县,河北建投丰宁关道梁风电场项目,,陆上集中式,在建,48,2016/12/16,2017/9/1,47.5,,,,承德大元新能源有限公司,其它投资企业,,2019
河北省,承德市,丰宁满族自治县,河北建投丰宁喇叭沟风电场项目,,陆上集中式,在建,48,2016/12/16,,,,,,河北丰宁建投新能源有限公司,河北建投,,2019
河北省,张家口市,康保县,河北建投康保永丰风电场,,陆上集中式,在建,200,2016/11/16,,,,,,河北建投张家口风能有限公司,河北建投,,2019
河北省,张家口市,张北县,河北建投张北战海风电场,,陆上集中式,在建,200,2017/8/15,2020/5/1,,,,,张北新天风能有限公司,,,2019
河北省,邢台市,巨鹿县,河北巨鹿漳河50兆瓦风电场项目,,陆上集中式,在建,50,2017/7/12,2019/1/1,,,,,巨鹿县风脉新能源有限公司,,,2019
河北省,张家口市,沽源县,华电沽源西胡同风电场200MW工程,,陆上集中式,在建,200,2017/4/12,2020/3/13,,,,,河北华电沽源风电有限公司,华电国际,,2019
河北省,张家口市,康保县,华电康保卧虎石风电场300MW工程,,陆上集中式,在建,300,,2020/3/19,,,,,河北华电康保风电有限公司,华电,,2019
河北省,张家口市,尚义县,华能尚义大苏计二期风电场,,陆上集中式,在建,200,2016/11/30,2017/11/1,18,,,,华能尚义风力发电有限公司,华能,,2019
河北省,承德市,围场县,华能围场朝阳湾风电场项目,,陆上集中式,在建,54,,2018/5/1,,,,,华能吉上围场满族蒙古族自治县风力发电有限公司,华能,,2019
河北省,承德市,围场县,华能围场吉上风电场项目,,陆上集中式,在建,50,,2018/5/1,,,,,华能吉上围场满族蒙古族自治县风力发电有限公司,华能,,2019
河北省,承德市,围场县,华能围场杨家湾风电场项目,,陆上集中式,在建,69,,2018/8/15,,,,,华能吉上围场满族蒙古族自治县风力发电有限公司,华能,,2019
河北省,张家口市,张北县,华能张北白庙滩二期风电场,,陆上集中式,在建,100,,2018/7/1,,,,,华能新能源股份有限公司河北分公司,华能,,2019
河北省,张家口市,张北县,华能张北白庙滩二期风电场（美人沟）,,陆上集中式,在建,50,,2019/10/1,,,,,华能新能源股份有限公司河北分公司,华能,,2019
河北省,张家口市,张北县,华能张北白庙滩风电场10万千瓦工程,,陆上集中式,在建,92,,2017/12/1,,,,,华能新能源股份有限公司,华能,,2019
河北省,张家口市,涿鹿县,华能涿鹿大寺风电场48兆瓦工程,,陆上集中式,在建,48,2016/12/13,2019/4/26,,,,,华能涿鹿清洁能源有限责任公司,华能,,2019
河北省,邯郸市,临漳县,华润临漳50MW风电场项目,,陆上集中式,在建,50,2017/12/26,2019/5/1,,,,,华润电力新能源（临漳）有限公司,华润,,2019
河北省,承德市,围场满族蒙古族自治县,华润新能源承德元宝山（300MW）风电项目,,陆上集中式,在建,300,2014/12/29,2016/10/1,,,,,华润新能源（木兰围场）风能有限公司,华润,,2019
河北省,张家口市,张北县,华源张北三号乡风电场100MW工程项目,,陆上集中式,在建,100,2017/10/31,,,,,,张北华源风电有限公司,其它投资企业,,2019
河北省,张家口市,张北县,华源张北三号乡风电场项目,,陆上集中式,在建,50,2016/11/30,,,,,,张北华源风电有限公司,其它投资企业,,2019
河北省,张家口市,张北县,华源张北兴盛茂风电场项目,,陆上集中式,在建,150,2016/11/30,,,,,,张北华源风电有限公司,其它投资企业,,2019
河北省,张家口市,怀安县,怀安县渡口堡风电场项目,,陆上集中式,在建,100,2016/7/1,,,,,,中国水电顾问集团怀安新能源有限公司,中水顾问,,2019
