FID_1,Lat,Lon,built_rati,2015power
285,22.75,108.4375,0.17449,1519455.954
286,22.75,108.75,0.0114796,70581.33048
287,22.75,109.0625,0.0165631,80782.08134
288,22.75,109.375,0.0494898,246280.9888
289,22.75,109.6875,0.0326087,118161.9842
290,22.75,110,0.157143,687054.0246
291,22.75,110.3125,0.206263,1012221.946
292,22.75,110.625,0.0178571,38926.86461
293,22.75,110.9375,0.000510204,556.025184
294,22.75,111.25,0.00336439,4416.744697
295,22.75,111.5625,0.0377551,232942.4637
296,22.75,111.875,0.00491718,21673.05698
297,22.75,112.1875,0.0252551,70162.75155
298,22.75,112.5,0.00957557,29265.89311
299,22.75,112.8125,0.0961735,281348.1545
300,22.75,113.125,0.626786,6367246.165
301,22.75,113.4375,0.284679,2437216.843
302,22.75,113.75,0.443878,4026521.316
303,22.75,114.0625,0.578416,7079719.438
304,22.75,114.375,0.38852,3588421.81
305,22.75,114.6875,0.0483954,98003.04428
306,22.75,115,0.0132653,30307.45111
307,22.75,115.3125,0.0326531,103277.5986
308,22.75,115.625,0.0186335,29322.87001
309,22.75,115.9375,0.0278061,66576.68328
310,22.75,116.25,0.0015528,257.970383
311,22.75,120.3125,0.32398,2233229.697
312,22.75,120.625,0.0628882,275419.875
313,22.75,120.9375,0.00178571,282.1371354
314,22.75,121.25,0.0293367,17826.1584
317,23,99.375,0,0
318,23,99.6875,0.00841837,6893.624597
319,23,100,0.000517598,260.4653472
320,23,100.3125,0.00535714,4884.792636
321,23,100.625,0,0
322,23,100.9375,0.00750518,6618.114369
323,23,101.25,0,0
324,23,101.5625,0.0010352,62.97243909
325,23,101.875,0,0
326,23,102.1875,0.000258799,44.76904636
327,23,102.5,0.00204082,541.4155358
328,23,102.8125,0.00102041,200.7753308
329,23,103.125,0,0
330,23,103.4375,0.000510204,344.6842331
331,23,103.75,0.00284679,1073.742075
332,23,104.0625,0.00229592,4691.240594
333,23,104.375,0.010352,33958.90991
334,23,104.6875,0.00484694,4680.612237
336,23,105.625,0,0
337,23,105.9375,0,0
338,23,106.25,0,0
339,23,106.5625,0,0
340,23,106.875,0.00102041,6291.172804
341,23,107.1875,0.00510204,46827.36368
342,23,107.5,0,0
343,23,107.8125,0.00994898,62394.81616
344,23,108.125,0.0168219,98098.26822
345,23,108.4375,0.0375,135624.0544
346,23,108.75,0.00510204,12053.35981
347,23,109.0625,0.0194099,75658.53341
348,23,109.375,0.0318878,121666.6493
349,23,109.6875,0.138199,890922.4145
350,23,110,0.0127551,57229.66495
351,23,110.3125,0.000258799,315.573719
352,23,110.625,0.00178571,1724.402049
353,23,110.9375,0.044898,77929.97493
354,23,111.25,0.00284679,3949.525065
355,23,111.5625,0.000255102,308.1965476
356,23,111.875,0.0261387,62154.14566
357,23,112.1875,0.0359694,92399.58494
358,23,112.5,0.129917,623025.7429
359,23,112.8125,0.284439,2107764.669
360,23,113.125,0.896429,15449812.63
361,23,113.4375,0.541408,6360553.359
362,23,113.75,0.745408,12380310.77
363,23,114.0625,0.507764,5948376.81
364,23,114.375,0.185714,1443096.951
365,23,114.6875,0.0582298,360996.6758
366,23,115,0.00433673,9128.253742
367,23,115.3125,0.0528061,279829.3168
368,23,115.625,0.0546066,322533.5007
369,23,115.9375,0.040051,276976.0348
370,23,116.25,0.0690994,347821.0685
371,23,116.5625,0.0267857,45298.61513
372,23,120,0.0113872,11907.96188
373,23,120.3125,0.351276,2581275.283
374,23,120.625,0.00983437,7183.846936
376,23,121.25,0.00280612,1291.154516
377,23.25,98.75,0,0
378,23.25,99.0625,0,0
379,23.25,99.375,0.00500659,3624.452165
380,23.25,99.6875,0.00311688,1402.890124
381,23.25,100,0.00131752,170.1157437
382,23.25,100.3125,0.00233766,1583.336379
383,23.25,100.625,0,0
384,23.25,100.9375,0,0
385,23.25,101.25,0,0
386,23.25,101.5625,0.000790514,176.3634442
387,23.25,101.875,0.00181818,1012.582769
388,23.25,102.1875,0.00210804,322.7261045
389,23.25,102.5,0.00233766,1802.001762
390,23.25,102.8125,0.00051948,474.6516864
391,23.25,103.125,0.0139657,31255.51731
392,23.25,103.4375,0.0332468,241635.731
393,23.25,103.75,0.000527009,1124.247588
394,23.25,104.0625,0.0012987,6093.856504
395,23.25,104.375,0.0231884,201243.428
396,23.25,104.6875,0.00623377,20752.39488
397,23.25,105,0.00051948,335.1639038
398,23.25,105.3125,0,0
399,23.25,105.625,0,0
400,23.25,105.9375,0.00131752,4848.537763
401,23.25,106.25,0.00363636,33941.84333
402,23.25,106.5625,0.0137022,110222.2199
